Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,_50%,PFS,Ca,Sk,Information
Alger,Axsträfse,Lamprothamnium papulosum,Starkt hotad EN,x,,,,,,,,,,,"Rödlistekriterium 2020: B1b(i,ii,iii,iv,v)c(iv)+2b(i,ii,iii,iv,v)c(iv)"
Alger,Balbiania,Balbiania investiens,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Barklöst sträfse,Chara braunii,Nära hotad NT,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Alger,Bauersträfse,Chara baueri,Nationellt utdöd RE,,,,,,,,,,,,
Alger,Bergborsting,Cladophora rupestris,,,,,x,,,,,,,,"Stora vikar och sund (1160)

Rev (1170)"
Alger,Blodkula,Rivularia haematites,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Blygpyssling,Acrochaetium immersum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Blåstång,Fucus vesiculosus,,,,,x,,,,,,,,"Stora vikar och sund (1160)

Rev (1170)

Laguner (1150)"
Alger,Blåtonat rödblad,Phyllophora pseudoceranoïdes,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Borststräfse,Chara aspera,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Rullstensåsöar i Östersjön (1610)

Smala Östersjövikar (1650)

Kransalgsjöar (3140)

Sublittorala sandbankar (1110)"
Alger,Bred snörptråd,Rosenvingiellopsis constricta,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Brungelé,Nostoc linckia,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Brunhorn,Microcoryne ocellata,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Brunplätt,Symphyocarpus strangulans,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Druvgryn,Botrytella reinboldii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Dvärgslinke,Nitella confervacea,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
Alger,Ektång,Halidrys siliquosa,,,,,x,,,,,,,,Rev (1170)
Alger,Finger-tare,Laminaria digitata,,,,,x,,,,,,,,Rev (1170)
Alger,Fingrenig tarmalg,Ulva procera,,,,,x,,,,,,,,Rev (1170)
Alger,Fiskbensalg,Sphaerococcus coronopifolius,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B1a
Alger,Fjäderdun,Ptilothamnion pluma,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Fjäderklubba,Tilopteris mertensii,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Fjäderslick,Polysiphonia fucoides,,,,,x,,,,,,,,Rev (1170)
Alger,Fjällprasiola,Prasiola fluviatilis,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Fjällrufse,Tolypella canadensis,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Gaffelkrasing,Jania rubens,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Gaffelkrasingkula,Choreonema thuretii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Geléskorpa,Chroothece rupestris,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Gleoplax,Gloeoplax weberi,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Gles tusengrening,Myriocladia lovenii,,,,,,,,,,,,,
Alger,Grenhuding,Protoderma frequens,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Grenig kalkskorpa,Phymatolithon calcareum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Grenlänkad skorpalg,Lithothamnion fornicatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Grovslinke,Nitella translucens,Sårbar VU,x,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv)+2ab(ii,iii,iv)"
Alger,Gråsträfse,Chara contraria,,,,,x,,,,,,,,Kransalgsjöar (3140)
Alger,Grönslick,Cladophora glomerata,,,,,x,,,,,,,,Rev (1170)
Alger,Grönsträfse,Chara baltica,,,,,x,,,,,,,,"Laguner (1150)

Sublittorala sandbankar (1110)"
Alger,Gröntonig pärlbandsalg,Virescentia vogesiaca,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
Alger,Gytterkula,Rivularia beccariana,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Havsrufse,Tolypella nidifica,,,,,x,,,,,,,,Sublittorala sandbankar (1110)
Alger,Hårdkula,Rivularia dura,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Hårsträfse,Chara canescens,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Smala Östersjövikar (1650)

Sublittorala sandbankar (1110)"
Alger,Höstslinke,Nitella syncarpa,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
Alger,Ishavstofs,Battersia arctica,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Jordhår,Nostoc flagelliforme,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Jordplätt,Nostoc humifusum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kalkgelé,Nostoc calcicola,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Kedjepyssling,Acrochaetium catenulatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kilrödblad,Coccotylus truncatus,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Klotsporig pärlbandsalg,Kumanoa globospora,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Klynnebändel,Dictyota dichotoma,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Knöltång,Ascophyllum nodosum,,,,,x,,,,,,,,Rev (1170)
Alger,Korallpricktråd,Stigonema mesentericum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kornmannia,Kornmannia leptoderma,,,,,,,,,,,,,
Alger,Korsvattensten,Hydrolithon cruciatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Krulltrassel,Stictyosiphon tortilis,,,,,x,,,,,,,,Rev (1170)
Alger,Krustkudde,Pulvinularia suecica,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Krypbulbing,Aphanochaete vermiculoides,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kryppyssling,Audouinella serpens,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Kräkel,Furcellaria lumbricalis,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Kuddtofsing,Myriactula haydenii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kulrandslick,Feldmannia globifera,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kyliniella,Kyliniella latvica,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Köttgelé,Nostoc carneum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Långgrening,Acrothrix gracilis,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii,iv,v)c(ii,iii,iv)"
Alger,Mellansträfse,Chara intermedia,,,,,x,,,,,,,,Kransalgsjöar (3140)
Alger,Molnslick,Ectocarpus siliculosus,,,,,x,,,,,,,,Rev (1170)
Alger,Nordsloke,Wildemania miniata,,,,,,,,,,,,,
Alger,Näcköra,Nostoc parmelioides,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2b(i,ii,iii,iv,v)"
Alger,Pilörtsplätt,Desmosiphon maculans,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Piskgelé,Chaetophora flagellifera,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Prickgelé,Chaetophora punctiformis,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Pälshår,Arthrocladia villosa,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Pärlslinke,Nitella tenuissima,Nationellt utdöd RE,,,,,,,,,,,,
Alger,Raggsträfse,Chara horrida,Nära hotad NT,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Alger,Rödstrumpeludd,Ulonema rhizophorum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Rödsträfse,Chara tomentosa,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Smala Östersjövikar (1650)

Kransalgsjöar (3140)

Sublittorala sandbankar (1110)"
Alger,Sipperalg,Rhodospora sordida,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Sjöhjortron,Nostoc zetterstedtii,Nära hotad NT,,,,,,,8§,,,,,"Rödlistekriterium 2020: B2b(ii,iii,iv,v)

Sjöhjortron (Nostoc zetterstedtii) är fridlyst enligt 8 § vid holmen Sihaansaari utanför Kääntölahti i sjön Vettasjärvi i Gällivare kommun i Norrbottens län samt på nordsidan av den mycket långa och smala sandudden i norra delen av sjön Vettasjärvi i Gällivare kommun i Norrbottens län."
Alger,Skalgrus-slemtråd,Scinaia furcellata,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Skaltusentråding,Myrionema seriatum,Kunskapsbrist DD,,,,,,,,,,,,
