TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
2,Lavar,blek kryptolav,Absconditella delutula,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
3,Lavar,träspricklav,Acarospora anomala,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
5,Kärlväxter,naverlönn,Acer campestre,Akut hotad CR,,,,,,,,,,,L-O,,"Rödlistekriterium 2020: D

Naverlönn kan endast användas som naturvårdsart och betraktas som rödlistad i Skåne vid Torups slott och Södra Lindholmen. Andra förekomster måste betraktas som trädgårdsflyktingar av okänt ursprung.

Signalvärde: Lågt-Obestämt"
6,Kärlväxter,äkta stormhatt,Aconitum napellus,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
8,Kärlväxter,röd trolldruva,Actaea erythrocarpa,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Näringsrik granskog (9050)"
9,Kärlväxter,våradonis,Adonis vernalis,Nära hotad NT,,,,,,,8§,,,,H-MH,,"Rödlistekriterium 2020: B2a

Våradonis (Adonis vernalis) är fridlyst enligt 8 § i hela landet.

Signalvärde: Högt-Mycket högt"
14,Kärlväxter,klätt,Agrostemma githago,Starkt hotad EN,x,,,,,,,,,,L-O,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(iv)

Signalvärde: Lågt-Obestämt"
16,Kärlväxter,vittåtel,Aira caryophyllea,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,iv)

Grå dyner (2130)"
17,Kärlväxter,kritsuga,Ajuga genevensis,Akut hotad CR,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B1ab(i,iii,v)+2ab(i,iii,v)

Kritsuga (Ajuga genevensis) är fridlyst enligt 8 § i hela landet."
19,Svampar,grönticka,Albatrellus cristatus,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: D

Signalvärde: Mycket högt

Indikerar varma ek- eller bokskogar av sällsynt typ, där det föreligger mycket långvarig trädkontinuitet och höga naturvärden."
20,Kärlväxter,sjuhörnig daggkåpa,Alchemilla heptagona,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
21,Kärlväxter,stubbdaggkåpa,Alchemilla samuelssonii,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
22,Kärlväxter,skarptandad daggkåpa,Alchemilla oxyodonta,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
24,Kärlväxter,kustdaggkåpa,Alchemilla xanthochlora,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
28,Kärlväxter,grässvalting,Alisma gramineum,Nationellt utdöd RE,,,,,,,,,,,0-0,,
30,Kärlväxter,småsvalting,Alisma wahlenbergii,Nära hotad NT,x,,,,"II, IV",,7§,,,,0-0,,"Rödlistekriterium 2020: B2a

Arten är en prioriterad art enligt art- och habitatdirektivet där den är upptagen i bilaga 2 eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd."
31,Kärlväxter,rosenlök,Allium carinatum,Nära hotad NT,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B2a

Rosenlök (Allium carinatum) är fridlyst enligt 8 § i hela landet."
32,Kärlväxter,klipplök,Allium lineare,Starkt hotad EN,,,,x,,,8§,,,,0-0,,"Rödlistekriterium 2020: B1ab(iii,v)

Uppspruckna kalkstenshällmarker (8240)

Klipplök (Allium lineare) är fridlyst enligt 8 § i hela landet."
33,Mossor,smal toffelmossa,Aloina aloides,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
34,Mossor,sydlig toffelmossa,Aloina ambigua,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
36,Svampar,gelétryffel,Alpova diplophloeus,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
37,Svampar,jättekamskivling,Amanita ceciliae,Nära hotad NT,,,,,,,,,,,P-P,,"Rödlistekriterium 2020: A2c+3c+4c

Signalvärde: Påtagligt

Indikerar kontinuerligt trädbevuxna ädellövmarker på kalkhaltig jord. Ofta har lokalerna haft ett regelmässigt inslag av gamla ädellövträd."
38,Svampar,gulbrämad flugsvamp,Amanita franchetii,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
39,Svampar,alflugsvamp,Amanita friabilis,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2c+3c+4c; C2a(i)

Signalvärde: Högt

Alflusvamp signalerar alltid albiotoper med höga naturvärden. Indikerar troligen lång trädkontinuitet med al (oftast gråal). Svampen är sällsynt. "
41,Svampar,flockflugsvamp,Amanita strobiliformis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
45,Svampar,marmorskinn,Athelopsis lacerata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
46,Svampar,rosa jodskinn,Amylocorticium subincarnatum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
47,Svampar,gult jodskinn,Amylocorticium subsulphureum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
48,Svampar,lappticka,Amylocystis lapponica,Sårbar VU,,,,x,,,,,,,MH-MH,,"Rödlistekriterium 2020: A2c+3c+4c

Taiga (9010)

Signalvärde: Mycket högt

Indikerar ett biologiskt intakt granskogsekosystem med lång kontinuitet av gran och grova granlågor. Klassad som en ""urskogsindikator"" då den förekommer med ett tydligt optimum i helt eller nästan helt orörda skogar. Allt tyder på att den är mycket känslig för alla former av skogliga ingrepp."
50,Kärlväxter,knutört,Lysimachia minima,Sårbar VU,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)

Dynvåtmarker (2190)

Signalvärde: Högt"
51,Mossor,snedbladsmossa,Anastrepta orcadensis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
52,Mossor,fjälltrappmossa,Orthocaulis cavifolius,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)"
53,Mossor,vedtrappmossa,Crossocalyx hellerianus,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: A3c+4c

Taiga (9010)

Signalvärde: Påtagligt

Vedtrappmossa finns huvudsakligen i barrnaturskog med höga naturvärden där den visar på områden som haft en kontinuerlig god tillgång på lågor i olika nedbrytningsstadier"
54,Mossor,skogstrappmossa,Anastrophyllum michauxii,Nära hotad NT,,,,,,,,,,,V-P,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Visst-Påtagligt

Indikerar ostörd skog på kalkrik mark och tycks kräva kontinuerlig beskuggning."
55,Mossor,myrtrappmossa,Anastrophyllum sphenoloboides,Kunskapsbrist DD,,,,,,,,,,,0-0,,
57,Svampar,gul mjukporing,Anomoloma albolutescens,Akut hotad CR,,,,,,,,,,,O-O,,"Rödlistekriterium 2020: D

Signalvärde: Obestämt"
58,Svampar,isabellporing,Anomoporia bombycina,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C1
